"","n_guesses","entropy_start","entropy_end","mean_entropy_drop","max_entropy_drop","early_entropy_drop","monotone_entropy","green_fraction","yellow_fraction","valid","source"
"1",4,13.6631133084558,1,4.22103776948527,5.8398553628348,4.40256615666412,TRUE,0.4,0.25,1,"synthetic_valid"
"2",6,13.6631133084558,4.32192809488736,1.86823704271369,2.63804422551744,2.23294830767288,TRUE,0.266666666666667,0.1,1,"synthetic_valid"
"3",6,13.6631133084558,2,2.33262266169116,5.89481776330794,4.74659415350675,TRUE,0.633333333333333,0,1,"synthetic_valid"
"4",6,13.6631133084558,2.32192809488736,2.26823704271369,3.93179427743074,3.61008490630354,TRUE,0.433333333333333,0.0666666666666667,1,"synthetic_valid"
"5",6,13.6631133084558,4.16992500144231,1.8986376614027,4.63084286214047,1.70878030110006,TRUE,0.333333333333333,0.0333333333333333,1,"synthetic_valid"
"6",3,13.6631133084558,1.58496250072116,6.03907540386732,9.11287385724122,6.03907540386732,TRUE,0.466666666666667,0.133333333333333,1,"synthetic_valid"
"7",5,13.6631133084558,0,3.41577832711395,3.91324388105896,3.62686118615905,TRUE,0.4,0.12,1,"synthetic_valid"
"8",5,13.6631133084558,0,3.41577832711395,5.4374053123073,2.82037274771368,TRUE,0.28,0.08,1,"synthetic_valid"
"9",5,13.6631133084558,1,3.16577832711395,4.44294349584873,3.11008490630354,TRUE,0.48,0.12,1,"synthetic_valid"
"10",5,13.6631133084558,1.58496250072116,3.01953770193366,5.08312651384717,4.0242017321703,TRUE,0.48,0.12,1,"synthetic_valid"
"11",5,13.6631133084558,0,3.41577832711395,5.2336196767597,4.3315566542279,TRUE,0.4,0.08,1,"synthetic_valid"
"12",6,13.6631133084558,0,2.73262266169116,4.77653374531223,1.63593485951418,TRUE,0.4,0.0666666666666667,1,"synthetic_valid"
"13",6,13.6631133084558,4.4594316186373,1.8407363379637,3.59837054370555,3.11008490630354,TRUE,0.466666666666667,0.0333333333333333,1,"synthetic_valid"
"14",5,13.6631133084558,1.58496250072116,3.01953770193366,3.63972830415205,3.63539794283852,TRUE,0.32,0.28,1,"synthetic_valid"
"15",6,13.6631133084558,3,2.13262266169116,5.62580755299854,3.72682997141343,TRUE,0.266666666666667,0.0666666666666667,1,"synthetic_valid"
"16",4,13.6631133084558,0,4.5543711028186,5.56139402958275,4.74659415350675,TRUE,0.55,0.05,1,"synthetic_valid"
